,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,AVGO,CSCO,ADBE,JPM,V,MA,PG,KO,PEP,JNJ,WMT,DIS,PFE,SAN.MC,BBVA.MC,TEF.MC,ITX.MC,REP.MC,IBE.MC,CABK.MC,SAB.MC,ACS.MC,FER.MC,NFLX,INTC,AMD,QCOM,TXN,HON,AMGN,SBUX,MDLZ,GILD,NKE,ORCL,IBM,GE,CAT,GS,MS,AXP,BAC,C
AAPL,0.09266453247520816,0.06423777040602777,0.06024848171897702,0.06075533399968385,0.07106176438850915,0.09467363205331533,0.0916964678040591,0.06963596169938124,0.04376855796349635,0.06753560005274697,0.03827825177227531,0.04620236444581958,0.05225882164173609,0.024381250203813074,0.02502867585220495,0.03030384646667777,0.020768023268546317,0.022173995930327692,0.04158178237458848,0.022716038672075754,0.02398775158089486,0.02345893902681172,0.01481642043011014,0.017510720625670346,0.018160070214368763,0.016037493758751194,0.01482787117873898,0.02401597120543626,0.018300225820056942,0.01819452668459404,0.059882379488364376,0.06170908750418195,0.08770687600040519,0.07309598741594683,0.05711877715986427,0.03759493282350052,0.029057542470364992,0.04661390459752372,0.028768025491523307,0.020884201879212656,0.048862699473209974,0.043639424206153875,0.03147642761973243,0.04306302905329649,0.03560352236913209,0.04462948442957214,0.04976198715218072,0.04798443079650904,0.042684082477311494,0.048309522390069755
MSFT,0.06423777040602777,0.08203489257041108,0.0651608128421182,0.06594183656613659,0.07419816449450684,0.09868753946161982,0.08011012488662476,0.06870867373421391,0.042414158570650486,0.0759101079638456,0.03690977616136788,0.046352329388907,0.05279421700232599,0.025112044993426928,0.024075386384789215,0.029748319754365624,0.019997579369823392,0.02282720310354238,0.04208780780160829,0.023359324146396705,0.022011234481537897,0.023007539947691624,0.012972032205953464,0.01765317794967181,0.016917678107198308,0.016766966668885212,0.013908782433860324,0.020326966395275103,0.016806884688724353,0.018103851274191937,0.06025245156551612,0.06269309926063438,0.08804907299659895,0.06765269481929803,0.05527207144906591,0.03584424694164918,0.02762368911505824,0.044987714852174704,0.029106751440175573,0.020155784047311782,0.04534505295886178,0.048872052523616864,0.031105100878678307,0.03931101386965799,0.032236699189893706,0.04234654344745209,0.048323986009459856,0.04740313414329387,0.04094700529272774,0.04580513161540808
GOOGL,0.06024848171897702,0.0651608128421182,0.09493853153800215,0.06719005816770786,0.08249350848967447,0.09197004630814976,0.07654539170305018,0.06252487283061675,0.03970805766043638,0.0696988493800793,0.037867962136333484,0.04398452486300035,0.050079883574285236,0.01990721620941411,0.021865743949860912,0.024480858269885195,0.016903196019299942,0.01892122793455871,0.04341194728339608,0.020448309734245065,0.026476283565058895,0.026426171224754796,0.015920305579142962,0.019143169676130094,0.019223849692053187,0.013052882355014348,0.0163063959259939,0.021335504199358705,0.020309871056904183,0.018914721338669713,0.06017182976716305,0.05802820238193283,0.08483793554877551,0.06589680453771027,0.05207466698772042,0.03618809501563956,0.023884396024797482,0.04359141938119255,0.02503814109797933,0.018894127211315555,0.04515145024950602,0.04081189577515073,0.028501628665278767,0.04038183248780348,0.0340585921575741,0.043445569909446424,0.04746874466220411,0.04902131668738581,0.04235194839352109,0.048423992776086534
AMZN,0.06075533399968385,0.06594183656613659,0.06719005816770786,0.11343099773783961,0.08667203841722528,0.10018374200951688,0.09071748769536148,0.06468914451003792,0.035887247796713206,0.0744421678588038,0.028464020264577693,0.036904541264286474,0.0436363180043779,0.01570444195153509,0.014823787334055913,0.020147686841494115,0.0119474586860744,0.021382756148861964,0.042269269853486724,0.015696714403915055,0.015738304962836697,0.015264938087159242,0.007589323912837463,0.013263756534202944,0.0060591893940455345,0.010542727160741415,0.012152311460491616,0.012992210021894109,0.01125720869145638,0.01232554311581307,0.07930328653453395,0.060416766609488415,0.09519527119085927,0.06707538836419442,0.050784101454439685,0.02621029792617306,0.021489430732472628,0.0395105045664386,0.01998096089470201,0.016119956252725602,0.044886932346642046,0.04071141299564097,0.023805058046288324,0.03592954097974026,0.028570658901119043,0.03785511836769618,0.0399002245506118,0.03922227882810843,0.033248028060421354,0.037500838075444215
META,0.07106176438850915,0.07419816449450684,0.08249350848967447,0.08667203841722528,0.17963445134803507,0.11352716490302533,0.087784596501247,0.07589787847855468,0.04116105282737309,0.08457624509258894,0.03892084690548053,0.048235216091557946,0.05640986951644071,0.01971746809578716,0.01815577375697421,0.02425737318928854,0.015747237553112022,0.019582409129975522,0.05024882263637433,0.020858752764399864,0.026492211471268356,0.029028642725406038,0.011666975989989756,0.022476274827972487,0.011922540675198665,0.016024964828140264,0.013051928623755434,0.019545478584251624,0.019561795521745674,0.018684965396430935,0.09047258066068588,0.0691882312331776,0.10455233760617998,0.07787644719823936,0.059733527490924795,0.03929836481858969,0.02513780850256872,0.05043751528001071,0.0273364899997051,0.01828762326831799,0.052655537113946146,0.04564155746254676,0.02784989563987064,0.04769311040221048,0.03246410630068639,0.04648605583065021,0.050603579313673167,0.05179524820900292,0.044216861299938515,0.051521805044537704
NVDA,0.09467363205331533,0.09868753946161982,0.09197004630814976,0.10018374200951688,0.11352716490302533,0.25928605222387613,0.14958234283458394,0.13331150854116516,0.05839631609721311,0.11303378669648671,0.052689393498735,0.06412685688393466,0.07362647309502353,0.023120157650533293,0.021326389388996805,0.0297482692199135,0.014865692900756981,0.026426380327527553,0.060910279892481364,0.021378662335373454,0.036002729611318056,0.035619602095408744,0.014821880540425363,0.026718771635839512,0.023366329437881868,0.01753641730251947,0.02112477441014481,0.03252000659270012,0.024546341199663722,0.02399769172410317,0.10543275279116908,0.10388126464881012,0.19325604809435656,0.13043447765883986,0.09837860289165158,0.04854929785233224,0.032520981423325046,0.06714683686501847,0.02999515436919677,0.018241184798348242,0.06849753792016154,0.06994132554092408,0.04071717945553574,0.06913372824002714,0.056927534444340205,0.06503906335362512,0.07514565728475536,0.0686845074101079,0.05723247841143114,0.06781170881152834
TSLA,0.0916964678040591,0.08011012488662476,0.07654539170305018,0.09071748769536148,0.087784596501247,0.14958234283458394,0.4030558560064397,0.11187354074554873,0.043142397384272495,0.09330976158037181,0.053235084355012105,0.05917036534566354,0.06440203024294329,0.01284448503811495,0.019723764873853442,0.023236519268773143,0.009729489276157735,0.020298181088731593,0.06019890862709913,0.013697117818988398,0.03651663187162348,0.039720634651283476,0.020596052571034196,0.028303404288989496,0.02721020640099549,0.01855379794369846,0.02697416476379236,0.03926651226127736,0.03186869288214107,0.03179589191688809,0.09991413698138939,0.08970695646928144,0.13896573774645257,0.10565191233207553,0.078395466458641,0.04297679046513578,0.025591423840291987,0.06284311672073194,0.02865538054282956,0.023767189464421645,0.06022305672792071,0.04643857616630112,0.02689564561464784,0.061192552077816244,0.04449643932548517,0.06561532748035169,0.0689939612252692,0.07161065528607469,0.06058428458904434,0.07294224023138818
AVGO,0.06963596169938124,0.06870867373421391,0.06252487283061675,0.06468914451003792,0.07589787847855468,0.13331150854116516,0.11187354074554873,0.1554369644186823,0.05115531851376742,0.0787892435113535,0.05177764755216059,0.0513325951874776,0.057983457108936855,0.019410583303754222,0.022270422785720164,0.02687967539883377,0.01458777308097863,0.019291278634857606,0.048110472943356325,0.02015290262358283,0.03535891848013729,0.036880599225330574,0.016459382093148255,0.02674702955617972,0.027486653834686802,0.01601415501581717,0.02515846485861539,0.034676977442711976,0.03455480053806957,0.025185117421982296,0.06435826695697093,0.08643094895066064,0.11724625787055451,0.10562446014438683,0.08181915252533827,0.04814672411744021,0.028583408217214896,0.057143730699638295,0.0283775237022389,0.019055357509591378,0.05375406746466467,0.05380338355161982,0.040648125139112014,0.06227842516453975,0.05172079677319992,0.05894308728944563,0.06374924180687788,0.06426524761523768,0.05363373420263876,0.06535902954004934
CSCO,0.04376855796349635,0.042414158570650486,0.03970805766043638,0.035887247796713206,0.04116105282737309,0.05839631609721311,0.043142397384272495,0.05115531851376742,0.07094621387213647,0.04629912564673776,0.0397255340673107,0.03764825913890067,0.04235218883844067,0.0245624874085381,0.024345713439734195,0.027835344423270153,0.023165534150729975,0.021245629965167153,0.039159158698447945,0.026604549061426275,0.02762153279681054,0.028629163515780605,0.019120913339504726,0.020326927894609905,0.022870475497110975,0.013590793034005528,0.02115814300920203,0.02706003752333093,0.021117795691416877,0.018221441874127824,0.030981871985145317,0.05122075617431475,0.056807370781368875,0.04614645326318287,0.04538528869377033,0.037332274177830596,0.02749343265425425,0.03970340189746282,0.026533536542828078,0.02360471840935195,0.03859537675880511,0.04038676688070843,0.03736808801516138,0.04213334187330732,0.03842986633423166,0.041458994034054196,0.04757136497001781,0.04641367542450062,0.04585503758939979,0.04894524886793586
ADBE,0.06753560005274697,0.0759101079638456,0.0696988493800793,0.0744421678588038,0.08457624509258894,0.11303378669648671,0.09330976158037181,0.0787892435113535,0.04629912564673776,0.13378667374110678,0.03682278842964938,0.05147473419286508,0.05697739587673402,0.02339948743856152,0.02276083648161437,0.030154541336426078,0.016950578578761578,0.023116366829552436,0.04417444032446699,0.02114442630408509,0.017125027799982182,0.020031252331436804,0.009552523640779216,0.018039007219595223,0.01321426062615518,0.01519219865078631,0.01000546055996313,0.01388115850906195,0.013453524386924862,0.01730663042636866,0.07811891296886485,0.06727896317010111,0.10183539998727748,0.0780930477242404,0.06158107275293003,0.036373889820351224,0.029233658723624302,0.04993935435322983,0.028044909889455814,0.021871723873993366,0.048915845980202176,0.05401749829154542,0.0319396901708316,0.04127776132666005,0.031995408130271824,0.04282755056094164,0.04657674845368762,0.04777682541324153,0.03946038679852794,0.04654111520921312
