Ticker,Precio_medio_USD,Retorno_anual_%,Volatilidad_anual_%,Sharpe_ratio,Retorno_acumulado_train_%,Asimetria,Curtosis
AAPL,134.48,30.7,34.59,0.83,240.98,-0.257,4.836
NVDA,32.68,36.63,52.59,0.659,332.3,-0.249,2.817
MSFT,258.93,22.68,31.74,0.652,147.56,-0.325,7.814
TSLA,180.71,44.66,67.14,0.635,495.8,-0.263,3.694
UNH,387.67,20.97,31.31,0.606,131.16,-0.534,14.627
PG,125.58,15.23,22.43,0.59,83.78,-0.117,10.932
PEP,136.47,15.41,23.11,0.58,85.13,-0.673,21.987
HD,267.49,17.55,30.46,0.51,101.6,-1.698,23.023
WMT,46.58,12.16,23.4,0.434,62.59,-0.204,14.012
JNJ,138.35,10.75,20.59,0.425,53.66,-0.035,8.156
XOM,70.61,17.05,36.22,0.416,97.65,-0.187,4.565
MA,345.57,15.7,34.22,0.4,87.28,0.058,7.262
KO,50.13,10.74,23.07,0.379,53.6,-0.94,8.713
BRK-B,291.84,10.53,23.41,0.364,52.32,-0.258,11.022
GOOGL,108.23,12.88,32.19,0.338,67.31,-0.198,4.069
V,211.16,11.83,30.32,0.324,60.45,-0.048,8.715
PFE,30.64,9.23,27.55,0.263,44.62,0.16,4.262
JPM,128.58,10.58,34.05,0.252,52.6,-0.038,11.961
ADBE,440.39,10.12,38.2,0.213,49.86,-0.703,8.831
CSCO,43.76,5.63,30.1,0.121,25.24,-0.811,11.403
NFLX,44.66,2.42,49.87,0.008,10.17,-2.869,40.148
AMZN,137.1,2.19,35.74,0.005,9.15,-0.137,4.709
CRM,208.14,-0.55,40.06,-0.064,-2.18,0.239,10.58
META,279.2,-3.0,45.55,-0.11,-11.31,-2.097,23.785
DIS,120.79,-5.37,34.96,-0.211,-19.3,0.122,8.45
