N,K,regime,seed,solver,p,alpha,in_sample_obj,in_sample_gap,iterations,out_of_sample_sharpe,feasible,runtime
10,3,stable,42,gurobi,,,-0.3040993466894405,0.0,1,0.8779607169839445,True,0.006747129000359564
10,3,stable,42,sa,0.0,0.0,-0.3040993466894405,0.0,1000,0.8779607169839445,True,0.2841715410004326
10,3,stable,42,xy_normal,2.0,0.0,-0.06671590762509727,0.7806114733510741,45,0.7515039644685019,True,16.784538286000497
10,3,stable,42,xy_regularized,2.0,0.05,-0.06671590762509727,0.7806114733510741,50,0.7515039644685019,True,17.801224064000053
10,3,stable,42,xy_regularized,2.0,0.1,-0.06671590762509727,0.7806114733510741,47,0.7515039644685019,True,17.874808773999575
10,3,stable,43,gurobi,,,-0.2671622748616663,0.0,1,0.7760895802041966,True,0.029706705000535294
10,3,stable,43,sa,0.0,0.0,-0.2671622748616663,0.0,1000,0.7760895802041966,True,0.2997066989992163
10,3,stable,43,xy_normal,2.0,0.0,-0.12460255578380802,0.5336072211230951,49,1.4770070528737151,True,16.632141500000216
10,3,stable,43,xy_regularized,2.0,0.05,-0.12460255578380802,0.5336072211230951,46,1.4770070528737151,True,15.872973554000055
10,3,stable,43,xy_regularized,2.0,0.1,-0.12460255578380802,0.5336072211230951,53,1.4770070528737151,True,19.078442163000545
10,3,stable,44,gurobi,,,-0.2534665258434457,0.0,1,0.799428058810063,True,0.03194556800008286
10,3,stable,44,sa,0.0,0.0,-0.2534665258434457,0.0,1000,0.799428058810063,True,0.2913736499995139
10,3,stable,44,xy_normal,2.0,0.0,-0.07002163597527619,0.7237440496638785,60,1.8105269799514228,True,19.47839117499916
10,3,stable,44,xy_regularized,2.0,0.05,-0.025214878881375587,0.9005198860185994,47,1.801410629942596,True,16.20718981200025
10,3,stable,44,xy_regularized,2.0,0.1,-0.025214878881375587,0.9005198860185994,51,1.801410629942596,True,18.08307012700061
15,4,stable,42,gurobi,,,-0.2917894604796781,0.0,1,1.0318952333111788,True,0.031290527999772166
15,4,stable,42,sa,0.0,0.0,-0.2908361606435767,0.0032670811157271625,1000,0.9787189840164117,True,0.471791927000595
15,4,stable,42,xy_normal,2.0,0.0,-0.20851883722718267,0.2853791330077697,49,0.9943773032245957,True,41.50592744500045
15,4,stable,42,xy_regularized,2.0,0.05,-0.09859495094294342,0.6621024255610146,54,0.9224053203156292,True,44.08446924299915
15,4,stable,42,xy_regularized,2.0,0.1,-0.20851883722718267,0.2853791330077697,45,0.9943773032245957,True,36.79194147899943
15,4,stable,43,gurobi,,,-0.31887507184141867,0.0,1,1.45404850915231,True,0.02865733700036799
15,4,stable,43,sa,0.0,0.0,-0.31887507184141867,0.0,1000,1.45404850915231,True,0.45304794700041384
15,4,stable,43,xy_normal,2.0,0.0,-0.23653597572112708,0.25821741299752665,48,1.7878263292267023,True,37.77571162499953
15,4,stable,43,xy_regularized,2.0,0.05,-0.19631929997627623,0.3843378886829111,48,1.3581413542864762,True,37.167459610999686
15,4,stable,43,xy_regularized,2.0,0.1,-0.19631929997627623,0.3843378886829111,48,1.3581413542864762,True,36.81931014800011
15,4,stable,44,gurobi,,,-0.28463748880230905,0.0,1,1.000933571511991,True,0.013751827999840316
15,4,stable,44,sa,0.0,0.0,-0.28463748880230905,0.0,1000,1.000933571511991,True,0.44123589099945093
15,4,stable,44,xy_normal,2.0,0.0,-0.1515663121243959,0.4675110690367841,56,1.4225231885087422,True,43.94380103200001
15,4,stable,44,xy_regularized,2.0,0.05,-0.13681387608750248,0.5193399272064102,58,2.1098385954972296,True,45.39193145799982
15,4,stable,44,xy_regularized,2.0,0.1,-0.13681387608750248,0.5193399272064102,52,2.1098385954972296,True,39.49861649400009
20,5,stable,42,gurobi,,,-0.29035637312228557,0.0,1,1.2272919566262848,True,0.04048080100074003
20,5,stable,42,sa,0.0,0.0,-0.28257232477490757,0.026808601663100735,1000,0.5140574424638651,True,0.5994377540000642
20,5,stable,42,xy_normal,2.0,0.0,-0.19298771808215395,0.3353418903573511,49,1.7300876778447107,True,77.78465466399939
