seed,solver,iteration,cost
42,xy_qaoa_normal,0,-8.494918789594195
42,xy_qaoa_normal,1,-8.480647689606142
42,xy_qaoa_normal,2,-8.459950732664673
42,xy_qaoa_normal,3,-8.443509341673872
42,xy_qaoa_normal,4,-8.429201508241048
42,xy_qaoa_normal,5,-8.415557406250736
42,xy_qaoa_normal,6,-8.411704858805406
42,xy_qaoa_normal,7,-8.411616140233702
42,xy_qaoa_normal,8,-8.413092967886996
42,xy_qaoa_normal,9,-8.415812024994576
42,xy_qaoa_normal,10,-8.438262499755544
42,xy_qaoa_normal,11,-8.439163434591476
42,xy_qaoa_normal,12,-8.438422591210484
42,xy_qaoa_normal,13,-8.42227069236632
42,xy_qaoa_normal,14,-8.398363895351784
42,xy_qaoa_normal,15,-8.361581000182433
42,xy_qaoa_normal,16,-8.437742047961093
42,xy_qaoa_normal,17,-8.409412410924293
42,xy_qaoa_normal,18,-8.443330251397173
42,xy_qaoa_normal,19,-8.456179597897792
42,xy_qaoa_normal,20,-8.488315599856492
42,xy_qaoa_normal,21,-8.456684262131484
42,xy_qaoa_normal,22,-8.489217250248958
42,xy_qaoa_normal,23,-8.48629828559551
42,xy_qaoa_normal,24,-8.49341644535924
42,xy_qaoa_normal,25,-8.496797271422423
42,xy_qaoa_normal,26,-8.489891017200693
42,xy_qaoa_normal,27,-8.49702633170643
42,xy_qaoa_normal,28,-8.496894991775171
42,xy_qaoa_normal,29,-8.497545998976483
42,xy_qaoa_normal,30,-8.49399814911217
42,xy_qaoa_normal,31,-8.496871312651438
42,xy_qaoa_normal,32,-8.498298304494867
42,xy_qaoa_normal,33,-8.496755890030132
42,xy_qaoa_normal,34,-8.497377604894549
42,xy_qaoa_normal,35,-8.49685664877221
42,xy_qaoa_normal,36,-8.496816618461537
42,xy_qaoa_normal,37,-8.497455083194794
42,xy_qaoa_normal,38,-8.498004557307922
42,xy_qaoa_normal,39,-8.496530039935164
42,xy_qaoa_normal,40,-8.497343935154992
42,xy_qaoa_normal,41,-8.49488969492511
42,xy_qaoa_normal,42,-8.498076127051084
42,xy_qaoa_normal,43,-8.4967545502238
42,xy_qaoa_normal,44,-8.49448085742555
42,xy_qaoa_normal,45,-8.496537259908802
42,xy_qaoa_normal,46,-8.497522877942194
42,xy_qaoa_normal,47,-8.497106483750477
42,xy_qaoa_normal,48,-8.497476922297773
42,xy_qaoa_normal,49,-8.497800076354796
42,xy_qaoa_normal,50,-8.49692910925067
42,xy_qaoa_normal,51,-8.496470138097095
42,xy_qaoa_regularized_alpha_0.1,0,-8.494933912003075
42,xy_qaoa_regularized_alpha_0.1,1,-8.479453814724332
42,xy_qaoa_regularized_alpha_0.1,2,-8.459844519694244
42,xy_qaoa_regularized_alpha_0.1,3,-8.44436649206641
42,xy_qaoa_regularized_alpha_0.1,4,-8.425363833686449
42,xy_qaoa_regularized_alpha_0.1,5,-8.417430772414955
42,xy_qaoa_regularized_alpha_0.1,6,-8.412495686980924
42,xy_qaoa_regularized_alpha_0.1,7,-8.41218906037186
42,xy_qaoa_regularized_alpha_0.1,8,-8.415294348058556
42,xy_qaoa_regularized_alpha_0.1,9,-8.420246975976681
42,xy_qaoa_regularized_alpha_0.1,10,-8.49376055001112
42,xy_qaoa_regularized_alpha_0.1,11,-8.394219655580232
42,xy_qaoa_regularized_alpha_0.1,12,-8.3938559129224
42,xy_qaoa_regularized_alpha_0.1,13,-8.334615351803636
42,xy_qaoa_regularized_alpha_0.1,14,-8.323385215379258
42,xy_qaoa_regularized_alpha_0.1,15,-8.283523852530834
42,xy_qaoa_regularized_alpha_0.1,16,-8.40866221674211
42,xy_qaoa_regularized_alpha_0.1,17,-8.472118848086687
42,xy_qaoa_regularized_alpha_0.1,18,-8.49017875883042
42,xy_qaoa_regularized_alpha_0.1,19,-8.487853457386427
42,xy_qaoa_regularized_alpha_0.1,20,-8.494058238744675
42,xy_qaoa_regularized_alpha_0.1,21,-8.48989302715905
42,xy_qaoa_regularized_alpha_0.1,22,-8.49024333190087
42,xy_qaoa_regularized_alpha_0.1,23,-8.493931788526293
42,xy_qaoa_regularized_alpha_0.1,24,-8.492677956798014
42,xy_qaoa_regularized_alpha_0.1,25,-8.493920040354439
42,xy_qaoa_regularized_alpha_0.1,26,-8.495202809053138
42,xy_qaoa_regularized_alpha_0.1,27,-8.494183723945246
42,xy_qaoa_regularized_alpha_0.1,28,-8.493438269063132
