seed,solver,p,alpha,init_type,in_sample_obj,in_sample_gap,success_prob,acc_success_prob,out_of_sample_return,out_of_sample_vol,out_of_sample_sharpe,feasible,runtime
42,gurobi,,,,-0.179368538439721,0.0,1.0,1.0,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,0.008334976000242023
42,xy_qaoa_normal,1.0,0.0,random,-0.179368538439721,0.0,0.3359375,0.3359375,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,21.439021650000086
42,xy_qaoa_regularized,1.0,0.1,tqa,-0.179368538439721,0.0,0.326171875,0.326171875,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,9.308830078000028
42,xy_qaoa_normal,2.0,0.0,random,-0.179368538439721,0.0,0.341796875,0.341796875,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,18.05274265700018
42,xy_qaoa_regularized,2.0,0.1,tqa,-0.179368538439721,0.0,0.3193359375,0.3193359375,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,17.780402574999698
42,xy_qaoa_normal,3.0,0.0,random,-0.179368538439721,0.0,0.2998046875,0.3046875,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,28.77921938899999
42,xy_qaoa_regularized,3.0,0.1,tqa,-0.179368538439721,0.0,0.341796875,0.341796875,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,31.318617085999904
42,xy_qaoa_regularized,2.0,0.0,tqa,-0.179368538439721,0.0,0.3056640625,0.3056640625,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,18.76929051800016
42,xy_qaoa_regularized,2.0,0.01,tqa,-0.179368538439721,0.0,0.3115234375,0.3115234375,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,16.16962682300027
42,xy_qaoa_regularized,2.0,0.05,tqa,-0.179368538439721,0.0,0.3125,0.3125,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,15.705648153999846
42,xy_qaoa_regularized,2.0,0.25,tqa,-0.179368538439721,0.0,0.298828125,0.298828125,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,16.908147628999814
42,xy_qaoa_regularized,2.0,0.5,tqa,-0.179368538439721,0.0,0.2861328125,0.2861328125,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,16.824027173000104
42,xy_qaoa_regularized,2.0,1.0,tqa,-0.179368538439721,0.0,0.259765625,0.259765625,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,15.986108963999868
42,xy_qaoa_regularized,2.0,5.0,tqa,-0.179368538439721,0.0,0.3310546875,0.3310546875,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,16.780434445000083
43,gurobi,,,,-0.179368538439721,0.0,1.0,1.0,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,0.04683363300000565
43,xy_qaoa_normal,1.0,0.0,random,-0.179368538439721,0.0,0.3095703125,0.3095703125,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,10.288326913999754
43,xy_qaoa_regularized,1.0,0.1,tqa,-0.179368538439721,0.0,0.330078125,0.330078125,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,9.43229323200012
43,xy_qaoa_normal,2.0,0.0,random,-0.179368538439721,0.0,0.2431640625,0.2431640625,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,16.592433599999822
43,xy_qaoa_regularized,2.0,0.1,tqa,-0.179368538439721,0.0,0.3173828125,0.3173828125,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,17.850309993999872
43,xy_qaoa_normal,3.0,0.0,random,-0.179368538439721,0.0,0.2861328125,0.291015625,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,30.43213733099992
43,xy_qaoa_regularized,3.0,0.1,tqa,-0.179368538439721,0.0,0.3291015625,0.3291015625,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,28.296069982999597
43,xy_qaoa_regularized,2.0,0.0,tqa,-0.179368538439721,0.0,0.3310546875,0.3310546875,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,16.754544344999886
43,xy_qaoa_regularized,2.0,0.01,tqa,-0.179368538439721,0.0,0.3447265625,0.3447265625,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,17.236801200000173
43,xy_qaoa_regularized,2.0,0.05,tqa,-0.179368538439721,0.0,0.2958984375,0.2958984375,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,17.636426021999796
43,xy_qaoa_regularized,2.0,0.25,tqa,-0.179368538439721,0.0,0.310546875,0.310546875,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,15.162611922999986
43,xy_qaoa_regularized,2.0,0.5,tqa,-0.179368538439721,0.0,0.26953125,0.26953125,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,18.0654005600004
43,xy_qaoa_regularized,2.0,1.0,tqa,-0.179368538439721,0.0,0.29296875,0.29296875,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,16.878511547000016
43,xy_qaoa_regularized,2.0,5.0,tqa,-0.179368538439721,0.0,0.294921875,0.294921875,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,16.123615642000004
44,gurobi,,,,-0.179368538439721,0.0,1.0,1.0,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,0.025984198000060132
44,xy_qaoa_normal,1.0,0.0,random,-0.179368538439721,0.0,0.3466796875,0.3466796875,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,11.670308535000004
44,xy_qaoa_regularized,1.0,0.1,tqa,-0.179368538439721,0.0,0.3330078125,0.3330078125,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,9.580623027000001
44,xy_qaoa_normal,2.0,0.0,random,-0.179368538439721,0.0,0.2890625,0.2890625,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,17.26304587100003
44,xy_qaoa_regularized,2.0,0.1,tqa,-0.179368538439721,0.0,0.3349609375,0.3349609375,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,19.587184503000117
44,xy_qaoa_normal,3.0,0.0,random,-0.06802534955120368,0.6207509402544169,0.0,0.0107421875,0.03556962395194816,0.14307989574896307,0.24859973349684203,True,28.643994522999947
44,xy_qaoa_regularized,3.0,0.1,tqa,-0.179368538439721,0.0,0.318359375,0.318359375,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,26.85475508699983
44,xy_qaoa_regularized,2.0,0.0,tqa,-0.179368538439721,0.0,0.3154296875,0.3154296875,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,15.78884918599988
44,xy_qaoa_regularized,2.0,0.01,tqa,-0.179368538439721,0.0,0.318359375,0.318359375,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,16.505037752000135
44,xy_qaoa_regularized,2.0,0.05,tqa,-0.179368538439721,0.0,0.3056640625,0.3056640625,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,16.376950582000063
44,xy_qaoa_regularized,2.0,0.25,tqa,-0.179368538439721,0.0,0.310546875,0.310546875,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,15.894691954999871
44,xy_qaoa_regularized,2.0,0.5,tqa,-0.179368538439721,0.0,0.2998046875,0.2998046875,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,15.209913350000079
44,xy_qaoa_regularized,2.0,1.0,tqa,-0.179368538439721,0.0,0.302734375,0.302734375,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,17.20579158999999
44,xy_qaoa_regularized,2.0,5.0,tqa,-0.179368538439721,0.0,0.306640625,0.3076171875,0.19272772493193932,0.2158961579894701,0.8926871451845809,True,15.703972602999784
