N,K,Solver,p,seed,restart_id,is_best_restart,experiment_phase,Feasibility Ratio (%),Optimization GAP (%),gap_best_of_restarts,Sharpe Ratio In-Sample,Sharpe Ratio Out-of-Sample,Execution Time (s),objective
6,3,Gurobi,,42,,True,N_scaling,100.0,0.0,0.0,2.2250196061044103,0.5016254806739875,0.00444630000856705,-0.16969936584326606
6,3,Simulated Annealing,,42,,True,N_scaling,100.0,0.0,0.0,2.2250196061044103,0.5016254806739875,0.013887399996747263,-0.16969936584326606
6,3,Standard QAOA,3.0,42,0.0,True,N_scaling,98.90495739289975,104.81843058986264,104.81843058986264,0.0461141778232512,-0.12100562519036057,0.29516600001079496,0.00817684615459484
6,3,XY-QAOA,3.0,42,,True,N_scaling,100.0,57.59852386563688,57.59852386563688,1.1043158574887593,0.44614759328531695,0.27103790000546724,-0.07195503610819803
6,3,XY-QAOA Regularized,3.0,42,0.0,True,N_scaling,100.0,21.197796197394037,21.197796197394037,2.207580307040662,0.3800405971386056,0.29562869999790564,-0.1337268401235404
6,3,Gurobi,,43,,True,N_scaling,100.0,0.0,0.0,1.569737245316234,0.2840676226026083,0.0038742000033380464,-0.1245977179843954
6,3,Simulated Annealing,,43,,True,N_scaling,100.0,0.0,0.0,1.569737245316234,0.2840676226026083,0.012055300001520663,-0.1245977179843954
6,3,Standard QAOA,3.0,43,0.0,True,N_scaling,93.90903246605322,0.0,0.0,1.569737245316234,0.2840676226026083,0.29313430000911467,-0.1245977179843954
6,3,XY-QAOA,3.0,43,,True,N_scaling,100.0,1.9141971789627878,1.9141971789627878,1.3140146442482428,1.5131803639841177,0.28305519999412354,-0.12221267198168609
6,3,XY-QAOA Regularized,3.0,43,0.0,True,N_scaling,100.00000000000004,1.9141971789627878,1.9141971789627878,1.3140146442482428,1.5131803639841177,0.2848316000017803,-0.12221267198168609
6,3,Gurobi,,44,,True,N_scaling,100.0,0.0,0.0,2.1113684758499756,0.8441618861128735,0.0033653999998932704,-0.1843847830914346
