n,k,Metodo,Retorno_%,Volatilidad_%,Sharpe,Objetivo,Gap_%,Factible,Tiempo_s
8,2,Exhaustiva,37.67968606282464,44.823847974886135,0.7959978376424806,-0.08793956295033803,0.0,True,0.0006911754608154297
8,2,SA (media),37.67968606282464,44.823847974886135,0.7959978376424806,-0.08793956295033803,0.0,True,0.08973071575164795
8,2,SA (std),0.0,5.551115123125783e-15,0.0,0.0,0.0,True,0.006162042129159981
8,2,SA (mejor),37.67968606282464,44.823847974886135,0.7959978376424806,-0.08793956295033803,0.0,True,0.10680675506591797
8,2,SA (factibilidad),0.0,0.0,0.0,0.0,0.0,10/10,0.0
12,3,Exhaustiva,30.196051527884233,32.81856810219701,0.8591493522837966,-0.09712733702549402,0.0,True,0.0036783218383789062
12,3,SA (media),31.20672831934799,34.818275183006634,0.8406274377430633,-0.09480670548811938,2.389267129567778,True,0.08894860744476318
12,3,SA (std),2.30266572185744,3.496632015645417,0.02321737004396243,0.002879991591640282,2.9651709599372014,True,0.004928611602074285
12,3,SA (mejor),30.196051527884233,32.81856810219701,0.8591493522837966,-0.09712733702549402,0.0,True,0.101959228515625
12,3,SA (factibilidad),0.0,0.0,0.0,0.0,0.0,10/10,0.0
16,4,Exhaustiva,33.24078211889571,36.63244911204317,0.8528171846589718,-0.09910709419715695,0.0,True,0.033396244049072266
16,4,SA (media),28.74682545765379,32.15160283527954,0.8314996515736046,-0.09164240296338218,7.531944402410811,True,0.09163918495178222
16,4,SA (std),2.6878824281001337,2.847616831699792,0.028360857059405938,0.005556718071418645,5.606781347422501,True,0.006306860167023295
16,4,SA (mejor),33.24078211889571,36.63244911204317,0.8528171846589718,-0.09910709419715695,0.0,True,0.08740115165710449
16,4,SA (factibilidad),0.0,0.0,0.0,0.0,0.0,10/10,0.0
